folder_a,folder_b,unique_a,unique_b,common,ratio_min,jaccard,files_a,files_b
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Podstawy Analizy Algorytmów/Kolokwia/Czyste Zadania,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Podstawy Analizy Algorytmów/Kolokwia/Czyste Zadania,46,43,43,1.0000,0.9348,48,44
Paczka I sem./Humanistyka Dla Inżynierów/Prawo patentowe,Paczki INFA/Paczka 1 sem. 23_24/(HDMI) Humanistyka dla Inżynierów/Prawo Patentowe - wykład,41,41,41,1.0000,1.0000,42,42
Paczka II sem. 21_22/Programowanie Obiektowe/python/cdn.tutorialspoint.com,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Programowanie Obiektowe/python/cdn.tutorialspoint.com,49,41,41,1.0000,0.8367,50,42
Paczki Infa/3 SEM/(MII) Multimedia i Interfejsy/Stara Paczka/Laby,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Multimedia i Interfejsy/Laby,40,41,40,1.0000,0.9756,41,42
Paczka II sem. 21_22/Algorytmy i Struktury Danych/Lab,Paczki INFA/Paczka 2 sem. 23_24/Algorytmy i Struktury Danych/Lab,39,52,39,1.0000,0.7500,39,52
Paczka II sem. 21_22/Algorytmy i Struktury Danych/Lab,Paczki Infa/2 SEM/(AiSD) Algorytmy i Struktury Danych/Laby,39,55,39,1.0000,0.7091,39,55
Paczka II sem. 21_22/Programowanie Obiektowe/przykladowe projekty/stare (nie wszystkie działają)/zestaw 3/projekt-po-c++/C++,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Programowanie Obiektowe/przykladowe projekty/stare (nie wszystkie działają)/zestaw 3/projekt-po-c++/C++,40,39,39,1.0000,0.9750,40,39
Paczka II sem. 21_22/Systemy Operacyjne/2020/SO,Paczki INFA/Paczka 2 sem. 23_24/Systemy Operacyjne/2020/SO,40,39,39,1.0000,0.9750,40,39
Paczki INFA/Paczka 3 sem. 23_24/(MII) Multimedia i Interfejsy/Stara Paczka/Laby,Paczki Infa/3 SEM/(MII) Multimedia i Interfejsy/Stara Paczka/Laby,39,40,39,1.0000,0.9750,40,41
Paczki INFA/Paczka 3 sem. 23_24/(MII) Multimedia i Interfejsy/Stara Paczka/Laby,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Multimedia i Interfejsy/Laby,39,41,39,1.0000,0.9512,40,42
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Laby/2021_wejsciowki+trescZadan,Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Laby/wejściówki2020,41,36,36,1.0000,0.8780,49,44
Paczka II sem. 21_22/Programowanie Obiektowe/przykladowe projekty/stare (nie wszystkie działają)/zestaw 2/Projekt cpp,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Programowanie Obiektowe/przykladowe projekty/stare (nie wszystkie działają)/zestaw 2/Projekt cpp,37,35,35,1.0000,0.9459,38,36
